Date,Close,High,Low,Open,Volume
2021-04-08,26586.392578125,26805.103243527945,25725.450986717155,25892.306453429752,4385
2021-04-09,26211.216796875,26875.1768612019,25998.436454716648,26660.878724483315,2439
2021-04-12,24249.3203125,25968.2161880922,23960.394492956224,25241.39458621853,7743
2021-04-13,24840.880859375,25026.04992155035,24005.936421219616,24469.02494063574,4482
2021-04-15,24226.595703125,25143.662372940737,24020.22012041944,25143.662372940737,4198
2021-04-16,25649.63671875,25809.75569502053,24340.930952698858,24444.59316400289,7549
2021-04-19,26067.939453125,26188.349299353693,24765.117630081313,25003.23160823439,8336
2021-04-20,25155.6640625,26539.42374243635,25029.750132163623,26188.34806189643,6205
2021-04-22,25622.880859375,25808.807908882885,24769.813619903958,25417.880377321864,7824
2021-04-23,25028.849609375,25808.806936651756,24860.902593647523,25383.720704753963,2935
2021-04-26,24842.068359375,25524.151112415457,24589.10446657952,25028.849741386428,2223
2021-04-27,24200.787109375,25122.64435612822,24063.203390564708,25049.86805443533,5262
2021-04-28,24361.14453125,24636.358313439272,24195.71047914083,24374.143079906782,4020
2021-04-29,24190.39453125,24611.353612285566,23816.30916762738,24479.463021179556,3708
2021-04-30,24231.765625,24450.618993336884,23820.72314669575,24194.808532950734,8051
2021-05-03,24698.697265625,24845.95854267671,23989.95024775005,24195.75687985626,1707
2021-05-04,24063.34375,25089.244956927174,23968.31758319984,24703.39342680339,3069
2021-05-05,23688.404296875,24479.462427068698,23597.97785035073,24119.84708306858,2822
2021-05-06,23476.337890625,24002.714226768396,23424.33999165759,23911.101704936656,1981
2021-05-07,23466.0390625,23716.584477982815,23389.23014131932,23716.584477982815,1296
2021-05-10,23188.12109375,23977.755931292148,22948.961919816065,23507.836416250848,3508
2021-05-11,23597.50390625,24195.75582980659,23057.132026050986,23330.40173895233,7518
2021-05-12,24000.103515625,24186.267769878767,23581.136649037646,23597.02993994174,2246
2021-05-14,23772.662109375,24190.48923694617,23607.561655895384,24100.870795300078,2533
2021-05-17,23816.783203125,24100.870209229157,23597.929851622594,23773.51586977309,3053
2021-05-18,24769.623046875,25097.166420837642,24148.361431977326,24244.147418481007,4777
2021-05-19,24560.2109375,25049.724677892944,24338.370169524802,24931.11802695595,3076
2021-05-20,24232.09765625,24857.91265267781,24148.313180035195,24670.182423611594,2082
2021-05-21,24758.140625,25126.675570705756,24368.684578615517,24611.353779366265,4279
2021-05-24,24776.267578125,24952.84880117762,24685.983818761266,24943.45478315076,1808
2021-05-25,25041.56640625,25106.088428212497,24543.038530617476,24954.840847260482,2797
2021-05-26,24991.798828125,25380.876864200192,24722.515374132516,25144.612393035444,2396
2021-05-27,25220.75390625,25343.86760229635,24717.624524141513,25142.710734767825,4072
2021-05-28,24018.65234375,25808.806571693,23672.037388016754,25225.310048232248,18634
2021-05-31,24230.05859375,24744.954165699335,24001.57399642987,24194.808325880535,6310
2021-06-01,24180.57421875,24525.196949293728,24061.255932452408,24385.526503762165,2902
2021-06-02,24639.060546875,24670.183673724197,24237.26939291125,24328.59651516494,3698
2021-06-03,24918.59375,24954.839201008,24575.297920384302,24639.06011423752,2713
2021-06-04,24774.984375,25285.70463217075,24670.18427578159,25079.899846699438,2347
2021-06-07,24992.462890625,25087.679943668576,24826.1763584719,24953.891635345684,1456
2021-06-08,24960.01171875,25186.361409492893,24670.233410252054,25078.09762112638,1309
2021-06-09,24462.146484375,25096.217618387145,24328.83261332568,24960.009003863364,1991
2021-06-10,24692.623046875,24740.112035863018,24499.388729107515,24645.512116570044,2925
2021-06-11,24815.453125,24945.351503283662,24574.87249963584,24698.79236125816,1301
2021-06-14,24559.5,25262.125820245958,24479.512784257797,24652.155889007736,3573
2021-06-15,24370.6328125,24859.10136453076,24304.971054201662,24736.510263194778,2611
2021-06-16,24170.896484375,24512.90986624508,24095.177260552467,24446.679174068042,1631
2021-06-17,23968.884765625,24240.39946353635,23887.42609382536,24167.28958747001,2137
2021-06-18,24143.951171875,24290.64351558503,23589.440954724978,24029.42347117465,10227
2021-06-21,24112.1640625,24245.904185621017,23915.845956153815,23915.845956153815,1092
2021-06-22,24264.40625,24337.136219899377,23908.586292790664,24007.884152828337,1610
2021-06-23,24191.53515625,24409.723210207787,24040.14488557363,24103.76623448194,1329
2021-06-24,23966.990234375,24316.26275244718,23890.227634179384,24195.75838714649,1096
2021-06-25,23778.6875,24181.523868458688,23721.14103584497,24181.523868458688,1449
2021-06-28,23490.615234375,24004.087498038538,23416.652871054626,24004.087498038538,2102
2021-06-29,23248.61328125,23625.497050519723,23199.461941652567,23531.560578854136,3409
2021-06-30,23087.0703125,23509.736238169415,23038.15618770446,23251.64816226103,2972
2021-07-01,23071.69921875,23341.17355012456,23009.692027581277,23114.065888324945,1236
2021-07-02,22960.5859375,23237.413846430012,22782.9131836109,23237.413846430012,1962
2021-07-05,22724.703125,23223.182798613725,22682.33645764499,23104.57614489251,5997
2021-07-06,23407.44921875,23531.465447098828,22854.64770093892,22895.82830151782,6148
2021-07-07,23082.98828125,23624.546228059586,23009.68937386316,23624.546228059586,4452
2021-07-08,23208.28515625,23284.85686602154,23104.57476314688,23284.85686602154,1412
2021-07-09,23221.474609375,23284.858747746857,23096.225980414016,23235.518378762226,1137
2021-07-12,23010.212890625,23377.13368464489,22965.56860592406,23341.788902668286,1592
2021-07-13,23002.1484375,23246.904389567135,22915.849123349093,23246.904389567135,1702
2021-07-14,22929.46484375,23103.67578162633,22914.80580244748,23001.151447500182,983
2021-07-15,23067.4765625,23246.904339223474,22921.399494520836,23245.907302031632,1205
2021-07-16,23468.603515625,23625.49602290149,22900.85756933825,23067.570336670477,2768
2021-07-19,23204.6796875,23425.28805892335,23105.524527010795,23403.46443508362,1248
2021-07-20,23017.9453125,23412.004803689142,22708.856370099023,23246.90434021172,3530
2021-07-22,22874.953125,23456.173898509867,22839.845556324664,23198.512068737553,4016
2021-07-23,22978.330078125,23057.13307876602,22772.477114830635,23057.13307876602,2311
2021-07-26,23495.59765625,23685.273783215987,22857.921969613108,22978.37814310318,3636
2021-07-27,23696.56640625,23731.816674918242,23104.57649654088,23624.548074368577,2613
2021-07-28,23476.810546875,23711.84073596758,23260.898266589087,23697.607938406978,994
2021-07-29,23571.412109375,23616.008211506094,23335.859293331512,23476.81218295446,1094
2021-07-30,23399.57421875,23716.585701793727,23257.340753617365,23626.444647916138,1458
2021-08-02,23410.62890625,23601.774643284785,23246.903544282275,23601.774643284785,1022
2021-08-03,23404.08203125,23543.752485343128,23106.473845166605,23531.560091989642,2134
2021-08-04,23134.939453125,23579.00276475089,23090.3915352695,23484.117441753904,1014
